1/1	76 26 148 54
LHANG	201 56 273 71
Số	489 85 560 114
phiếu	560 85 631 114
1646/2019	631 85 702 114
3648383	823 93 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	813 149 861 165
Nữ	901 149 931 165
35	481 193 509 209
208	573 193 615 210
07327	669 193 736 210
35	394 194 423 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chấn	36 254 82 274
đoán:	82 254 128 274
T10	128 254 175 274
-	175 254 221 274
Tăng	221 254 267 274
huyết	267 254 313 274
áp	313 254 359 274
vô	359 254 405 274
căn	405 254 451 274
(nguyên	451 254 497 274
phát):	497 254 543 274
(LO8.0)	543 254 589 274
Viêm	589 254 635 274
da	635 254 681 274
có	681 254 727 274
mủ;	727 254 773 274
(G46?)	773 254 819 274
Hội	819 254 865 274
chứng	865 254 911 274
mạch	911 254 957 274
máu	34 272 86 294
não	86 272 139 294
trong	139 272 192 294
bệnh	192 272 244 294
mạch	244 272 297 294
não	297 272 350 294
(160-167f)	350 272 402 294
1)	60 360 142 385
RENAPRIL	142 360 223 385
5MG	223 360 305 385
5mg	305 360 386 385
SL:	782 361 831 382
28	831 361 880 382
Viên	880 361 928 382
Ghi	44 384 100 407
chú	100 384 155 407
Uống:	155 384 210 407
Sáng	380 388 418 407
1	418 388 456 407
Viên	456 388 494 407
2)	57 409 161 435
NOVOXIM-500	161 409 265 435
0,5g	265 409 369 435
SL:	782 410 831 430
20	831 410 880 430
Viên	880 410 928 430
Ghi	44 432 98 456
chú	98 432 152 456
Uống:	152 432 206 456
3)	59 456 159 484
HOẠT	159 456 259 484
HUYẾT	259 456 359 484
DƯỠNG	359 456 459 484
NÃO	459 456 559 484
150mg+20mg	559 456 659 484
SL:	782 458 831 479
20	831 458 880 479
Viên	880 458 928 479
Ghi	44 481 100 504
chú	100 481 155 504
Uống:	155 481 210 504
Tối	822 484 855 500
2	855 484 888 500
Viên	888 484 921 500
Sáng	380 485 418 504
2	418 485 456 504
Viên	456 485 494 504
Cộng	43 512 97 530
khoản:	97 512 151 530
3	151 512 205 530
khoản	205 512 259 530
Lời	43 533 85 551
dặn	85 533 127 551
đơn	127 533 169 551
thuốc:	169 533 211 551
Ngày	43 558 86 575
hẹn	86 558 130 575
tái	130 558 173 575
khám:	173 558 217 575
Ngày	636 591 726 609
03/07/2019	726 591 815 609
Bệnh	85 609 128 626
